Key,English,Russian,Indonesian
claim,Claim,Получить,Mengeklaim
close,Close,Закрыть,Menutup
day,Day,День,Hari
error!,Error!,Ошибка!,Kesalahan!
error.notcoin,Coin not enough,Недостаточно монет,Koin tidak cukup
error.session,Session Failed,Сессия прервана,Sesi gagal
error.unknown,Unknown Error,Неизвестная ошибка,Kesalahan yang tidak diketahui
exit,Exit,Выход,Keluar
game.ad.adnotready,Ad is not ready,Реклама не готова,Iklan belum siap
game.ad.errorview,Viewing the ad failed,Неудачный просмотр,Melihat iklan gagal
game.ad.success,Successful Ad viewing,Успешный просмотр рекламы,Tampilan iklan yang sukses
game.daily.all,Complete All,Выполнить все,Selesaikan semua
game.daily.claim,Claim,Получить,Mengeklaim
game.daily.claimed,Claimed,Получено,Diklaim
game.daily.help,Don't forget to collect the reward!,Не забудьте забрать награды!,Jangan lupa untuk mengumpulkan hadiah!
game.stats.monthrank,Monthly Rank Wins:,победы (ежемес.):,Peringkat Bulanan menang:
game.daily.require,Requires,Требуется ,Memerlukan
game.daily.reset,Daily quests are reset at 00:00 UTC,Ежедневные задания сбрасываются в 00:00 UTC,Pencarian harian diatur ulang pada 00:00 UTC
game.daily.swapdiamonds,Swap Diamonds,Обмен Алмазов,Bertukar berlian
game.daily.title,Daily Quests,Ежедн. задания,Pencarian harian
game.daily.totalclicks,Total Clicks,Кликнуть,Total klik
game.daily.totalwin,Win Diamonds,Выиграть алм.,Menangkan Berlian
game.daily.vip,Vip Bonus,Вип бонус,Bonus VIP
game.daily.windiamonds,Win {0} {0:Diamond|Diamonds},{0} {0:Алмаз|Алмаза|Алмазов},Win {0} {0:Diamond|Diamonds}
game.endcoins.swap,Swap,Обмен,Menukar
game.endcoins.text,Do you want to get more coins?,Вы хотите получить больше монет?,Apakah Anda ingin mendapatkan lebih banyak koin?
game.endcoins.title,Not enough coins,Недостаточно монет,Tidak cukup koin
game.item.coins,Coins,Монеты,Koin
game.item.diamonds,Diamonds,Алмазы,Berlian
game.language.english,English,English,Bahasa inggris
game.language.indonesian,Indonesia,Indonesia,Indonesia
game.language.russian,Russian,Русский,Rusia
game.language.title,Language,Язык,Bahasa
game.lv,Lv.,Ур.,Lv.
game.main.cost,Cost: {0} <sprite=0>,Стоимость: {0} <sprite=0>,Biaya: {0} <sprite=0>
game.main.daily,Daily,Дейлики,Sehari-hari
game.main.game,Game,Игры,Permainan
game.main.rank,RANK,РЕЙТИНГ,PANGKAT
game.main.rewards,REWARDS,НАГРАДЫ,Hadiah
game.main.stats,Stats,Ст-ка,Statistik
game.main.totalclicks,Total clicks,Всего кликов,Total klik
game.main.up,UP,УЛУЧШИТЬ,KE ATAS
game.notify.adfinish,The ad is over for today,На сегодня реклама закончилась,Iklan sudah berakhir untuk hari ini
game.notify.comingsoon,Coming soon,Откроется скоро!,Segera hadir
game.notify.incorrectnumber,Invalid number specified,Указано некорректное число,Nomor tidak valid ditentukan
game.rank.dailyrank,Daily Rank,Ежедн. рейтинг,Peringkat harian
game.rank.dailytitle,Daily Rank,Ежедн. рейтинг,Peringkat harian
game.rank.finish,Tournament finish,Турнир закончен,Turnamen selesai
game.rank.flashtitle,Ranking Reward,Награда за рейтинг,Hadiah peringkat
game.rank.gotreward,Received a Ranking reward,Получена награда за рейтинг,Menerima hadiah peringkat
game.rank.monthlyrank,Monthly Rank,Ежемес. рейтинг,Peringkat bulanan
game.rank.norank,No Rank,Нет места,Tidak ada peringkat
game.rank.weeklyrank,Weekly Rank,Еженед. рейтинг,Peringkat mingguan
game.rewards.help,You can get up to *your level* rewards in a single tap,Вы можете получить *ваш уровень* наград за один клик,Anda bisa mencapai *level* Anda hadiah dalam satu keran tunggal
game.rewards.help2,"Example: 
5 level: 1 click = 5 attempts to get a reward
You can get multiple rewards","Пример: 
5 уровень: 1 клик = 5 шансов получить награду
Вы можете получить несколько наград сразу","Contoh:
5 Level: 1 klik = 5 upaya untuk mendapatkan hadiah
Anda bisa mendapatkan beberapa hadiah"
game.rewards.rewards,Rewards,Награды,Hadiah
game.settings.english,English,Английский,Bahasa inggris
game.settings.title,Settings,Настройки,Pengaturan
game.settings.website,Website,Сайт игры,Situs web
